N,Etiqueta,TS,ciudad,nodo_concentrador,nodo_estandar,nodo_backup,ruta,caja_codigo,color_buffer,tipo_ruta,clase,detalle_validacion
34.0,UIO-Sur 2 (A)-Solanda (E)/Sur 2 (A)-F03-C02A-AMA,UIO,UIO,Sur 2 (A),Solanda (E),Sur 2 (A),F03,C02A,AMA,ruta_completa,1,Etiqueta valida
35.0,UIO-Sur 2 (A)-Sur 2 (A)/Solanda (E)-F03-C01A-AMA,UIO,UIO,Sur 2 (A),Sur 2 (A),Solanda (E),F03,C01A,AMA,ruta_completa,1,Etiqueta valida
36.0,UIO-Armenia (A)-Pintag (E)/N/A-F01-PC12A-CEL,UIO,UIO,Armenia (A),Pintag (E),,F01,PC12A,CEL,ruta_no_aplica,1,Etiqueta valida
37.0,UIO-Armenia (A)-Pintag (E)/N/A-F01-PC11A-ROS,UIO,UIO,Armenia (A),Pintag (E),,F01,PC11A,ROS,ruta_no_aplica,1,Etiqueta valida
38.0,UIO-Armenia (A)-Pintag (E)/N/A-F01-PC10A-VIO,UIO,UIO,Armenia (A),Pintag (E),,F01,PC10A,VIO,ruta_no_aplica,1,Etiqueta valida
39.0,UIO-Armenia (A)-Pintag (E)/N/A-F01-PC09A-AMA,UIO,UIO,Armenia (A),Pintag (E),,F01,PC09A,AMA,ruta_no_aplica,1,Etiqueta valida
40.0,UIO-Armenia (A)-Pintag (E)/N/A-F01-PC08A-NEG,UIO,UIO,Armenia (A),Pintag (E),,F01,PC08A,NEG,ruta_no_aplica,1,Etiqueta valida
41.0,UIO-Armenia (A)-Pintag (E)/N/A-F01-PC07A-ROJ,UIO,UIO,Armenia (A),Pintag (E),,F01,PC07A,ROJ,ruta_no_aplica,1,Etiqueta valida
42.0,UIO-Armenia (A)-Pintag (E)/N/A-F01-PC06A-BLA,UIO,UIO,Armenia (A),Pintag (E),,F01,PC06A,BLA,ruta_no_aplica,1,Etiqueta valida
43.0,UIO-Armenia (A)-Pintag (E)/N/A-F01-PC05A-GRI,UIO,UIO,Armenia (A),Pintag (E),,F01,PC05A,GRI,ruta_no_aplica,1,Etiqueta valida
44.0,UIO-Armenia (A)-Pintag (E)/N/A-F01-PC04A-CAF,UIO,UIO,Armenia (A),Pintag (E),,F01,PC04A,CAF,ruta_no_aplica,1,Etiqueta valida
45.0,UIO-Armenia (A)-Pintag (E)/N/A-F01-PC03A-VER,UIO,UIO,Armenia (A),Pintag (E),,F01,PC03A,VER,ruta_no_aplica,1,Etiqueta valida
46.0,UIO-Armenia (A)-Pintag (E)/N/A-F01-PC02A-NAR,UIO,UIO,Armenia (A),Pintag (E),,F01,PC02A,NAR,ruta_no_aplica,1,Etiqueta valida
47.0,UIO-Armenia (A)-Pintag (E)/N/A-F01-PC01A-AZU,UIO,UIO,Armenia (A),Pintag (E),,F01,PC01A,AZU,ruta_no_aplica,1,Etiqueta valida
48.0,UIO-Sur 2 (A)-Calle 3 (E)/N/A-F03-PC16B-NEG,UIO,UIO,Sur 2 (A),Calle 3 (E),,F03,PC16B,NEG,ruta_no_aplica,1,Etiqueta valida
49.0,UIO-Sur 2 (A)-Calle 3 (E)/N/A-F03-PC15B-NEG,UIO,UIO,Sur 2 (A),Calle 3 (E),,F03,PC15B,NEG,ruta_no_aplica,1,Etiqueta valida
50.0,UIO-Sur 2 (A)-Calle 3 (E)/N/A-F03-PC14B-ROJ,UIO,UIO,Sur 2 (A),Calle 3 (E),,F03,PC14B,ROJ,ruta_no_aplica,1,Etiqueta valida
51.0,UIO-Sur 2 (A)-Calle 3 (E)/N/A-F03-PC13B-ROJ,UIO,UIO,Sur 2 (A),Calle 3 (E),,F03,PC13B,ROJ,ruta_no_aplica,1,Etiqueta valida
52.0,UIO-Sur 2 (A)-Calle 3 (E)/N/A-F03-PC12B-BLA,UIO,UIO,Sur 2 (A),Calle 3 (E),,F03,PC12B,BLA,ruta_no_aplica,1,Etiqueta valida
53.0,UIO-Sur 2 (A)-Calle 3 (E)/N/A-F03-PC11B-BLA,UIO,UIO,Sur 2 (A),Calle 3 (E),,F03,PC11B,BLA,ruta_no_aplica,1,Etiqueta valida
54.0,UIO-Sur 2 (A)-Calle 3 (E)/N/A-F03-PC10B-GRI,UIO,UIO,Sur 2 (A),Calle 3 (E),,F03,PC10B,GRI,ruta_no_aplica,1,Etiqueta valida
55.0,UIO-Sur 2 (A)-Calle 3 (E)/N/A-F03-PC09B-GRI,UIO,UIO,Sur 2 (A),Calle 3 (E),,F03,PC09B,GRI,ruta_no_aplica,1,Etiqueta valida
56.0,UIO-Sur 2 (A)-Calle 3 (E)/N/A-F03-PC08B-CAF,UIO,UIO,Sur 2 (A),Calle 3 (E),,F03,PC08B,CAF,ruta_no_aplica,1,Etiqueta valida
57.0,UIO-Sur 2 (A)-Calle 3 (E)/N/A-F03-PC07B-CAF,UIO,UIO,Sur 2 (A),Calle 3 (E),,F03,PC07B,CAF,ruta_no_aplica,1,Etiqueta valida
58.0,UIO-Sur 2 (A)-Calle 3 (E)/N/A-F03-PC06B-VER,UIO,UIO,Sur 2 (A),Calle 3 (E),,F03,PC06B,VER,ruta_no_aplica,1,Etiqueta valida
59.0,UIO-Sur 2 (A)-Calle 3 (E)/N/A-F03-PC05B-VER,UIO,UIO,Sur 2 (A),Calle 3 (E),,F03,PC05B,VER,ruta_no_aplica,1,Etiqueta valida
60.0,UIO-Sur 2 (A)-Calle 3 (E)/N/A-F03-PC04B-NAR,UIO,UIO,Sur 2 (A),Calle 3 (E),,F03,PC04B,NAR,ruta_no_aplica,1,Etiqueta valida
61.0,UIO-Sur 2 (A)-Calle 3 (E)/N/A-F03-PC03B-NAR,UIO,UIO,Sur 2 (A),Calle 3 (E),,F03,PC03B,NAR,ruta_no_aplica,1,Etiqueta valida
62.0,UIO-Sur 2 (A)-Calle 3 (E)/N/A-F03-PC02B-AZU,UIO,UIO,Sur 2 (A),Calle 3 (E),,F03,PC02B,AZU,ruta_no_aplica,1,Etiqueta valida
63.0,UIO-Sur 2 (A)-Calle 3 (E)/N/A-F03-PC01B-AZU,UIO,UIO,Sur 2 (A),Calle 3 (E),,F03,PC01B,AZU,ruta_no_aplica,1,Etiqueta valida
64.0,UIO-Sur 2 (A)-Calle 3 (E)/N/A-F03-PC24B-CEL,UIO,UIO,Sur 2 (A),Calle 3 (E),,F03,PC24B,CEL,ruta_no_aplica,1,Etiqueta valida
65.0,UIO-Sur 2 (A)-Calle 3 (E)/N/A-F03-PC23B-CEL,UIO,UIO,Sur 2 (A),Calle 3 (E),,F03,PC23B,CEL,ruta_no_aplica,1,Etiqueta valida
66.0,UIO-Sur 2 (A)-Calle 3 (E)/N/A-F03-PC22B-ROS,UIO,UIO,Sur 2 (A),Calle 3 (E),,F03,PC22B,ROS,ruta_no_aplica,1,Etiqueta valida
67.0,UIO-Sur 2 (A)-Calle 3 (E)/N/A-F03-PC21B-ROS,UIO,UIO,Sur 2 (A),Calle 3 (E),,F03,PC21B,ROS,ruta_no_aplica,1,Etiqueta valida
68.0,UIO-Sur 2 (A)-Calle 3 (E)/N/A-F03-PC20B-VIO,UIO,UIO,Sur 2 (A),Calle 3 (E),,F03,PC20B,VIO,ruta_no_aplica,1,Etiqueta valida
69.0,UIO-Sur 2 (A)-Calle 3 (E)/N/A-F03-PC19B-VIO,UIO,UIO,Sur 2 (A),Calle 3 (E),,F03,PC19B,VIO,ruta_no_aplica,1,Etiqueta valida
70.0,UIO-Sur 2 (A)-Calle 3 (E)/N/A-F03-PC18B-AMA,UIO,UIO,Sur 2 (A),Calle 3 (E),,F03,PC18B,AMA,ruta_no_aplica,1,Etiqueta valida
71.0,UIO-Sur 2 (A)-Calle 3 (E)/N/A-F03-PC17B-AMA,UIO,UIO,Sur 2 (A),Calle 3 (E),,F03,PC17B,AMA,ruta_no_aplica,1,Etiqueta valida
72.0,UIO-Armenia (A)-Pintag (E)/N/A-F02-PC24B-CEL,UIO,UIO,Armenia (A),Pintag (E),,F02,PC24B,CEL,ruta_no_aplica,1,Etiqueta valida
73.0,UIO-Armenia (A)-Pintag (E)/N/A-F02-PC23B-CEL,UIO,UIO,Armenia (A),Pintag (E),,F02,PC23B,CEL,ruta_no_aplica,1,Etiqueta valida
74.0,UIO-Armenia (A)-Pintag (E)/N/A-F02-PC22B-ROS,UIO,UIO,Armenia (A),Pintag (E),,F02,PC22B,ROS,ruta_no_aplica,1,Etiqueta valida
75.0,UIO-Armenia (A)-Pintag (E)/N/A-F02-PC21B-ROS,UIO,UIO,Armenia (A),Pintag (E),,F02,PC21B,ROS,ruta_no_aplica,1,Etiqueta valida
76.0,UIO-Armenia (A)-Pintag (E)/N/A-F02-PC20B-VIO,UIO,UIO,Armenia (A),Pintag (E),,F02,PC20B,VIO,ruta_no_aplica,1,Etiqueta valida
77.0,UIO-Armenia (A)-Pintag (E)/N/A-F02-PC19B-VIO,UIO,UIO,Armenia (A),Pintag (E),,F02,PC19B,VIO,ruta_no_aplica,1,Etiqueta valida
78.0,UIO-Armenia (A)-Pintag (E)/N/A-F02-PC18B-AMA,UIO,UIO,Armenia (A),Pintag (E),,F02,PC18B,AMA,ruta_no_aplica,1,Etiqueta valida
79.0,UIO-Armenia (A)-Pintag (E)/N/A-F02-PC17B-AMA,UIO,UIO,Armenia (A),Pintag (E),,F02,PC17B,AMA,ruta_no_aplica,1,Etiqueta valida
80.0,UIO-Armenia (A)-Pintag (E)/N/A-F02-PC16B-NEG,UIO,UIO,Armenia (A),Pintag (E),,F02,PC16B,NEG,ruta_no_aplica,1,Etiqueta valida
81.0,UIO-Armenia (A)-Pintag (E)/N/A-F02-PC15B-NEG,UIO,UIO,Armenia (A),Pintag (E),,F02,PC15B,NEG,ruta_no_aplica,1,Etiqueta valida
82.0,UIO-Armenia (A)-Pintag (E)/N/A-F02-PC02B-AZU,UIO,UIO,Armenia (A),Pintag (E),,F02,PC02B,AZU,ruta_no_aplica,1,Etiqueta valida
83.0,UIO-Armenia (A)-Pintag (E)/N/A-F02-PC01B-AZU,UIO,UIO,Armenia (A),Pintag (E),,F02,PC01B,AZU,ruta_no_aplica,1,Etiqueta valida
84.0,UIO-Armenia (A)-Pintag (E)/N/A-F02-PC14B-ROJ,UIO,UIO,Armenia (A),Pintag (E),,F02,PC14B,ROJ,ruta_no_aplica,1,Etiqueta valida
85.0,UIO-Armenia (A)-Pintag (E)/N/A-F02-PC13B-ROJ,UIO,UIO,Armenia (A),Pintag (E),,F02,PC13B,ROJ,ruta_no_aplica,1,Etiqueta valida
86.0,UIO-Armenia (A)-Pintag (E)/N/A-F02-PC12B-BLA,UIO,UIO,Armenia (A),Pintag (E),,F02,PC12B,BLA,ruta_no_aplica,1,Etiqueta valida
87.0,UIO-Armenia (A)-Pintag (E)/N/A-F02-PC11B-BLA,UIO,UIO,Armenia (A),Pintag (E),,F02,PC11B,BLA,ruta_no_aplica,1,Etiqueta valida
88.0,UIO-Armenia (A)-Pintag (E)/N/A-F02-PC10B-GRI,UIO,UIO,Armenia (A),Pintag (E),,F02,PC10B,GRI,ruta_no_aplica,1,Etiqueta valida
89.0,UIO-Armenia (A)-Pintag (E)/N/A-F02-PC09B-GRI,UIO,UIO,Armenia (A),Pintag (E),,F02,PC09B,GRI,ruta_no_aplica,1,Etiqueta valida
90.0,UIO-Armenia (A)-Pintag (E)/N/A-F02-PC08B-CAF,UIO,UIO,Armenia (A),Pintag (E),,F02,PC08B,CAF,ruta_no_aplica,1,Etiqueta valida
91.0,UIO-Armenia (A)-Pintag (E)/N/A-F02-PC07B-CAF,UIO,UIO,Armenia (A),Pintag (E),,F02,PC07B,CAF,ruta_no_aplica,1,Etiqueta valida
92.0,UIO-Armenia (A)-Pintag (E)/N/A-F02-PC06B-VER,UIO,UIO,Armenia (A),Pintag (E),,F02,PC06B,VER,ruta_no_aplica,1,Etiqueta valida
93.0,UIO-Armenia (A)-Pintag (E)/N/A-F02-PC05B-VER,UIO,UIO,Armenia (A),Pintag (E),,F02,PC05B,VER,ruta_no_aplica,1,Etiqueta valida
94.0,UIO-Armenia (A)-Pintag (E)/N/A-F02-PC04B-NAR,UIO,UIO,Armenia (A),Pintag (E),,F02,PC04B,NAR,ruta_no_aplica,1,Etiqueta valida
95.0,UIO-Armenia (A)-Pintag (E)/N/A-F02-PC03B-NAR,UIO,UIO,Armenia (A),Pintag (E),,F02,PC03B,NAR,ruta_no_aplica,1,Etiqueta valida
96.0,UIO-Sur 2 (A)-Recreo (E)/Sur 2 (A)-F01-C40B-ROS,UIO,UIO,Sur 2 (A),Recreo (E),Sur 2 (A),F01,C40B,ROS,ruta_completa,1,Etiqueta valida
97.0,UIO-Sur 2 (A)-Sur 2 (A)/Recreo (E)-F01-C39B-ROS,UIO,UIO,Sur 2 (A),Sur 2 (A),Recreo (E),F01,C39B,ROS,ruta_completa,1,Etiqueta valida
98.0,UIO-Sur 2 (A)-Recreo (E)/Sur 2 (A)-F01-C38B-ROS,UIO,UIO,Sur 2 (A),Recreo (E),Sur 2 (A),F01,C38B,ROS,ruta_completa,1,Etiqueta valida
99.0,UIO-Sur 2 (A)-Sur 2 (A)/Recreo (E)-F01-C37B-ROS,UIO,UIO,Sur 2 (A),Sur 2 (A),Recreo (E),F01,C37B,ROS,ruta_completa,1,Etiqueta valida
100.0,UIO-Sur 2 (A)-Recreo (E)/Sur 2 (A)-F01-C36B-VIO,UIO,UIO,Sur 2 (A),Recreo (E),Sur 2 (A),F01,C36B,VIO,ruta_completa,1,Etiqueta valida
101.0,UIO-Sur 2 (A)-Sur 2 (A)/Recreo (E)-F01-C35B-VIO,UIO,UIO,Sur 2 (A),Sur 2 (A),Recreo (E),F01,C35B,VIO,ruta_completa,1,Etiqueta valida
102.0,UIO-Sur 2 (A)-Recreo (E)/Sur 2 (A)-F01-C34B-VIO,UIO,UIO,Sur 2 (A),Recreo (E),Sur 2 (A),F01,C34B,VIO,ruta_completa,1,Etiqueta valida
103.0,UIO-Sur 2 (A)-Sur 2 (A)/Recreo (E)-F01-C33B-VIO,UIO,UIO,Sur 2 (A),Sur 2 (A),Recreo (E),F01,C33B,VIO,ruta_completa,1,Etiqueta valida
104.0,UIO-Sur 2 (A)-Recreo (E)/Sur 2 (A)-F01-C32B-GRI,UIO,UIO,Sur 2 (A),Recreo (E),Sur 2 (A),F01,C32B,GRI,ruta_completa,1,Etiqueta valida
105.0,UIO-Sur 2 (A)-Sur 2 (A)/Recreo (E)-F01-C31B-GRI,UIO,UIO,Sur 2 (A),Sur 2 (A),Recreo (E),F01,C31B,GRI,ruta_completa,1,Etiqueta valida
106.0,UIO-Sur 2 (A)-Recreo (E)/Sur 2 (A)-F01-C30B-GRI,UIO,UIO,Sur 2 (A),Recreo (E),Sur 2 (A),F01,C30B,GRI,ruta_completa,1,Etiqueta valida
107.0,UIO-Sur 2 (A)-Sur 2 (A)/Recreo (E)-F01-C29B-GRI,UIO,UIO,Sur 2 (A),Sur 2 (A),Recreo (E),F01,C29B,GRI,ruta_completa,1,Etiqueta valida
108.0,UIO-Sur 2 (A)-Recreo (E)/Sur 2 (A)-F01-C28B-AZU,UIO,UIO,Sur 2 (A),Recreo (E),Sur 2 (A),F01,C28B,AZU,ruta_completa,1,Etiqueta valida
109.0,UIO-Sur 2 (A)-Sur 2 (A)/Recreo (E)-F01-C27B-AZU,UIO,UIO,Sur 2 (A),Sur 2 (A),Recreo (E),F01,C27B,AZU,ruta_completa,1,Etiqueta valida
110.0,UIO-Sur 2 (A)-Recreo (E)/Sur 2 (A)-F01-C26B-AZU,UIO,UIO,Sur 2 (A),Recreo (E),Sur 2 (A),F01,C26B,AZU,ruta_completa,1,Etiqueta valida
111.0,UIO-Sur 2 (A)-Sur 2 (A)/Recreo (E)-F01-C25B-AZU,UIO,UIO,Sur 2 (A),Sur 2 (A),Recreo (E),F01,C25B,AZU,ruta_completa,1,Etiqueta valida
112.0,UIO-Sur 2 (A)-Recreo (E)/Sur 2 (A)-F01-C24B-NEG,UIO,UIO,Sur 2 (A),Recreo (E),Sur 2 (A),F01,C24B,NEG,ruta_completa,1,Etiqueta valida
113.0,UIO-Sur 2 (A)-Sur 2 (A)/Recreo (E)-F01-C23B-NEG,UIO,UIO,Sur 2 (A),Sur 2 (A),Recreo (E),F01,C23B,NEG,ruta_completa,1,Etiqueta valida
114.0,UIO-Sur 2 (A)-Recreo (E)/Sur 2 (A)-F01-C22B-NEG,UIO,UIO,Sur 2 (A),Recreo (E),Sur 2 (A),F01,C22B,NEG,ruta_completa,1,Etiqueta valida
115.0,UIO-Sur 2 (A)-Sur 2 (A)/Recreo (E)-F01-C21B-NEG,UIO,UIO,Sur 2 (A),Sur 2 (A),Recreo (E),F01,C21B,NEG,ruta_completa,1,Etiqueta valida
116.0,UIO-Sur 2 (A)-Recreo (E)/Sur 2 (A)-F01-C20B-CAF,UIO,UIO,Sur 2 (A),Recreo (E),Sur 2 (A),F01,C20B,CAF,ruta_completa,1,Etiqueta valida
117.0,UIO-Sur 2 (A)-Sur 2 (A)/Recreo (E)-F01-C19B-CAF,UIO,UIO,Sur 2 (A),Sur 2 (A),Recreo (E),F01,C19B,CAF,ruta_completa,1,Etiqueta valida
118.0,UIO-Sur 2 (A)-Recreo (E)/Sur 2 (A)-F01-C18B-CAF,UIO,UIO,Sur 2 (A),Recreo (E),Sur 2 (A),F01,C18B,CAF,ruta_completa,1,Etiqueta valida
119.0,UIO-Sur 2 (A)-Sur 2 (A)/Recreo (E)-F01-C17B-CAF,UIO,UIO,Sur 2 (A),Sur 2 (A),Recreo (E),F01,C17B,CAF,ruta_completa,1,Etiqueta valida
120.0,UIO-Sur 2 (A)-Recreo (E)/Sur 2 (A)-F01-C16B-CEL,UIO,UIO,Sur 2 (A),Recreo (E),Sur 2 (A),F01,C16B,CEL,ruta_completa,1,Etiqueta valida
121.0,UIO-Sur 2 (A)-Sur 2 (A)/Recreo (E)-F01-C15B-CEL,UIO,UIO,Sur 2 (A),Sur 2 (A),Recreo (E),F01,C15B,CEL,ruta_completa,1,Etiqueta valida
122.0,UIO-Sur 2 (A)-Recreo (E)/Sur 2 (A)-F01-C14B-CEL,UIO,UIO,Sur 2 (A),Recreo (E),Sur 2 (A),F01,C14B,CEL,ruta_completa,1,Etiqueta valida
123.0,UIO-Sur 2 (A)-Sur 2 (A)/Recreo (E)-F01-C13B-CEL,UIO,UIO,Sur 2 (A),Sur 2 (A),Recreo (E),F01,C13B,CEL,ruta_completa,1,Etiqueta valida
124.0,UIO-Sur 2 (A)-Recreo (E)/Sur 2 (A)-F01-C12B-NAR,UIO,UIO,Sur 2 (A),Recreo (E),Sur 2 (A),F01,C12B,NAR,ruta_completa,1,Etiqueta valida
125.0,UIO-Sur 2 (A)-Sur 2 (A)/Recreo (E)-F01-C11B-NAR,UIO,UIO,Sur 2 (A),Sur 2 (A),Recreo (E),F01,C11B,NAR,ruta_completa,1,Etiqueta valida
126.0,UIO-Sur 2 (A)-Recreo (E)/Sur 2 (A)-F01-C10B-NAR,UIO,UIO,Sur 2 (A),Recreo (E),Sur 2 (A),F01,C10B,NAR,ruta_completa,1,Etiqueta valida
127.0,UIO-Sur 2 (A)-Sur 2 (A)/Recreo (E)-F01-C09B-NAR,UIO,UIO,Sur 2 (A),Sur 2 (A),Recreo (E),F01,C09B,NAR,ruta_completa,1,Etiqueta valida
128.0,UIO-Sur 2 (A)-Recreo (E)/Sur 2 (A)-F01-C08B-VER,UIO,UIO,Sur 2 (A),Recreo (E),Sur 2 (A),F01,C08B,VER,ruta_completa,1,Etiqueta valida
129.0,UIO-Sur 2 (A)-Sur 2 (A)/Recreo (E)-F01-C07B-VER,UIO,UIO,Sur 2 (A),Sur 2 (A),Recreo (E),F01,C07B,VER,ruta_completa,1,Etiqueta valida
130.0,UIO-Sur 2 (A)-Recreo (E)/Sur 2 (A)-F01-C06B-VER,UIO,UIO,Sur 2 (A),Recreo (E),Sur 2 (A),F01,C06B,VER,ruta_completa,1,Etiqueta valida
131.0,UIO-Sur 2 (A)-Sur 2 (A)/Recreo (E)-F01-C05B-VER,UIO,UIO,Sur 2 (A),Sur 2 (A),Recreo (E),F01,C05B,VER,ruta_completa,1,Etiqueta valida
